150 PA5-B-Debug-Output.txt 6
 -121.6003  139.0865   38.6104  168.3821  -95.1081  -60.5044
   31.03     4.15   -15.76        31.03     4.15   -15.76     0.000
   -4.62    16.80     9.11        -4.62    16.80     9.11     0.000
   22.57     0.08   -24.55        22.57     0.08   -24.55     0.000
   27.31     1.52   -21.61        27.31     1.52   -21.61     0.000
    9.56    24.14     6.34         9.56    24.14     6.34     0.000
   10.97    25.94    15.27        10.97    25.94    15.27     0.000
   -4.78     7.57    49.90        -4.78     7.57    49.90     0.000
  -16.91     3.34    12.59       -16.91     3.34    12.59     0.000
   -8.80    11.08    32.43        -8.80    11.08    32.43     0.000
   25.37   -11.48    -3.26        25.37   -11.48    -3.26     0.000
    2.76    22.77    10.08         2.76    22.77    10.08     0.000
  -13.64    23.05    20.17       -13.64    23.05    20.17     0.000
    4.38   -10.00    18.59         4.38   -10.00    18.59     0.000
   28.08    -5.66   -19.01        28.08    -5.66   -19.01     0.000
  -31.40    -9.84   -13.89       -31.40    -9.84   -13.89     0.000
   10.37     6.17    59.48        10.37     6.17    59.48     0.000
   13.94    -7.25   -17.72        13.94    -7.25   -17.72     0.000
    3.54   -21.07   -13.83         3.54   -21.07   -13.83     0.000
   13.68    25.46    38.13        13.68    25.46    38.13     0.000
  -17.46   -31.99   -32.38       -17.46   -31.99   -32.38     0.000
   36.51     1.78    11.65        36.51     1.78    11.65     0.000
  -21.53    27.75    27.94       -21.53    27.75    27.94     0.000
    1.39    -6.46    34.62         1.39    -6.46    34.62     0.000
    4.67    23.00     4.62         4.67    23.00     4.62     0.000
   35.26    -2.20    12.45        35.26    -2.20    12.45     0.000
    3.67   -12.51   -25.90         3.67   -12.51   -25.90     0.000
    1.05    23.20    14.32         1.05    23.20    14.32     0.000
   -9.11     9.10   -15.99        -9.11     9.10   -15.99     0.000
  -28.15   -28.37   -39.76       -28.15   -28.37   -39.76     0.000
    7.53   -13.60     3.59         7.53   -13.60     3.59     0.000
   16.79    24.57    25.66        16.79    24.57    25.66     0.000
   24.23    -5.46    48.69        24.23    -5.46    48.69     0.000
  -25.70    11.32   -40.12       -25.70    11.32   -40.12     0.000
    3.55     3.48    -7.19         3.55     3.48    -7.19     0.000
    2.96    25.28    23.97         2.96    25.28    23.97     0.000
    1.89   -15.04   -33.53         1.88   -15.04   -33.53     0.000
    7.03    22.62    51.31         7.03    22.62    51.31     0.000
   -7.79   -25.25   -19.41        -7.79   -25.25   -19.41     0.000
  -34.17     1.81   -44.77       -34.17     1.81   -44.77     0.000
   27.19    16.46     2.32        27.19    16.46     2.32     0.000
    5.44    -3.61    48.52         5.44    -3.61    48.52     0.000
  -23.83    12.31   -33.48       -23.83    12.31   -33.48     0.000
   20.18    -8.90     6.39        20.18    -8.90     6.39     0.000
  -28.65     7.69   -20.60       -28.65     7.69   -20.60     0.000
    9.20     3.08   -14.01         9.20     3.08   -14.01     0.000
   24.69    17.98     0.39        24.69    17.98     0.39     0.000
  -29.14    10.68   -37.62       -29.14    10.68   -37.62     0.000
   24.89     2.79   -23.42        24.89     2.79   -23.42     0.000
    5.88    24.03     8.03         5.88    24.03     8.03     0.000
   -7.32    22.08    17.86        -7.32    22.08    17.86     0.000
   17.84   -14.09    -8.17        17.84   -14.09    -8.17     0.000
   24.69    18.81    14.10        24.69    18.81    14.10     0.000
  -32.41   -15.48   -15.58       -32.41   -15.48   -15.58     0.000
  -27.76    11.09   -23.25       -27.76    11.09   -23.25     0.000
  -38.82     1.80   -31.48       -38.82     1.80   -31.48     0.000
   11.48    26.04    21.06        11.48    26.04    21.06     0.000
   20.11    -8.54     8.16        20.11    -8.54     8.16     0.000
   15.66    22.87    33.77        15.66    22.87    33.77     0.000
  -22.49     3.51   -49.97       -22.49     3.51   -49.97     0.000
   10.77    -5.55    51.03        10.77    -5.55    51.03     0.000
  -27.88     4.02   -17.36       -27.88     4.02   -17.36     0.000
   17.19   -14.26   -12.62        17.19   -14.26   -12.62     0.000
  -35.63   -21.92   -22.73       -35.63   -21.92   -22.73     0.000
    3.46   -21.13   -14.03         3.46   -21.13   -14.03     0.000
  -38.31    -4.44   -22.01       -38.31    -4.44   -22.01     0.000
   17.90    -3.29   -20.67        17.90    -3.29   -20.67     0.000
   -3.52     4.37   -15.58        -3.52     4.37   -15.58     0.000
    8.52    25.03    28.24         8.52    25.03    28.24     0.000
  -31.12   -23.86   -19.39       -31.12   -23.86   -19.39     0.000
   -7.15    18.67    13.90        -7.15    18.67    13.90     0.000
  -11.41    23.81    20.73       -11.41    23.81    20.73     0.000
   32.46     8.37    -6.85        32.46     8.37    -6.85     0.000
   11.90   -12.39   -16.72        11.90   -12.39   -16.72     0.000
   -2.97    17.30     8.48        -2.97    17.30     8.48     0.000
  -39.59     0.93   -35.78       -39.59     0.93   -35.78     0.000
  -21.03    27.22    31.84       -21.03    27.22    31.84     0.000
    2.26    20.81     0.44         2.26    20.81     0.44     0.000
    0.38    19.38     0.13         0.38    19.38     0.13     0.000
   35.05     1.76    16.21        35.05     1.76    16.21     0.000
    9.09     4.12   -16.65         9.09     4.12   -16.65     0.000
  -25.02   -21.48   -49.35       -25.02   -21.48   -49.35     0.000
   13.68    -9.42     9.04        13.68    -9.42     9.04     0.000
  -31.91     5.59   -21.54       -31.91     5.59   -21.54     0.000
   -7.97    10.51    -1.77        -7.97    10.51    -1.77     0.000
  -25.64   -28.03   -20.19       -25.64   -28.03   -20.19     0.000
   32.50    -4.76    -0.02        32.50    -4.76    -0.02     0.000
  -14.43    -8.89    -0.07       -14.43    -8.89    -0.07     0.000
  -19.90    -8.46    -5.27       -19.90    -8.46    -5.27     0.000
   19.41   -12.43    -2.72        19.41   -12.43    -2.72     0.000
  -43.42    -7.17   -32.51       -43.42    -7.17   -32.51     0.000
  -25.97   -29.48   -39.12       -25.97   -29.48   -39.12     0.000
   -7.43     9.55    35.65        -7.43     9.55    35.65     0.000
   -1.48    22.23    14.88        -1.48    22.23    14.88     0.000
   -3.27    -3.09    38.47        -3.27    -3.09    38.47     0.000
   -0.23    -1.53    46.31        -0.23    -1.53    46.31     0.000
