150 PA5-A-Debug-Answer.txt 6
  -15.1359   25.2164   57.4012  144.9230   26.0384  -96.8652
   29.67     5.83    36.64        29.67     5.83    36.64     0.000
   12.27    10.69   -12.97        12.27    10.69   -12.97     0.000
   26.87     2.91    53.51        26.87     2.91    53.51     0.000
  -29.08     7.76   -15.06       -29.08     7.76   -15.06     0.000
   26.53    10.85    44.80        26.53    10.85    44.80     0.000
   18.93    -4.42    30.44        18.93    -4.42    30.44     0.000
   12.13     5.35    62.67        12.13     5.35    62.67     0.000
   -4.00     2.01    59.23        -4.00     2.01    59.23     0.000
   -0.41    -2.24   -26.10        -0.41    -2.24   -26.10     0.000
   -5.17     2.02    54.09        -5.17     2.02    54.09     0.000
   26.03    20.24    12.25        26.03    20.24    12.25     0.000
   10.04    10.95    -7.59        10.04    10.95    -7.59     0.000
   21.87     9.06    62.13        21.87     9.06    62.13     0.000
   17.64    21.13   -20.12        17.64    21.13   -20.12     0.000
  -10.14   -23.85   -14.00       -10.14   -23.85   -14.00     0.000
   -7.16   -10.47     2.99        -7.16   -10.47     2.99     0.000
   28.44     6.50    42.61        28.44     6.50    42.61     0.000
    9.49    23.13    29.95         9.49    23.13    29.95     0.000
   -3.12    -1.48    43.24        -3.12    -1.48    43.24     0.000
  -33.72     8.64   -22.20       -33.72     8.64   -22.20     0.000
   -9.27     9.13    56.98        -9.27     9.13    56.98     0.000
  -18.58    12.36   -26.45       -18.58    12.36   -26.45     0.000
   26.82     2.69    53.68        26.82     2.69    53.68     0.000
    3.24    -2.98   -23.66         3.24    -2.98   -23.66     0.000
   21.65    17.05    48.08        21.65    17.05    48.08     0.000
  -32.02    10.79   -26.01       -32.02    10.79   -26.01     0.000
   18.76    -4.85    26.93        18.76    -4.85    26.93     0.000
   20.93    17.53    41.20        20.93    17.53    41.20     0.000
  -38.01   -21.77   -35.09       -38.01   -21.77   -35.09     0.000
   19.12    19.07    48.92        19.12    19.07    48.92     0.000
   16.85    24.68     5.17        16.85    24.68     5.17     0.000
   -5.71     8.34    -4.18        -5.71     8.34    -4.18     0.000
   26.46    13.05    23.06        26.46    13.05    23.06     0.000
  -16.50     1.59    18.05       -16.50     1.59    18.05     0.000
   14.87     4.97    63.66        14.87     4.97    63.66     0.000
   -8.44    15.15    12.81        -8.44    15.15    12.81     0.000
  -36.22     6.57   -23.20       -36.22     6.57   -23.20     0.000
   15.53    22.80    39.64        15.53    22.80    39.64     0.000
   10.94    -4.47    29.45        10.94    -4.47    29.45     0.000
    6.34    -9.26    17.75         6.34    -9.26    17.75     0.000
   -8.02     3.07    40.31        -8.02     3.07    40.31     0.000
   32.98    -2.27    16.75        32.98    -2.27    16.75     0.000
   40.04     3.77     2.76        40.04     3.77     2.76     0.000
  -23.86    12.82   -33.75       -23.86    12.82   -33.75     0.000
   24.37   -10.68     4.17        24.37   -10.68     4.17     0.000
   19.79    -9.44   -18.91        19.79    -9.44   -18.91     0.000
  -20.11     4.49    15.62       -20.11     4.49    15.62     0.000
   15.23     5.64   -18.40        15.23     5.64   -18.40     0.000
   -8.52     5.01    46.45        -8.52     5.01    46.45     0.000
  -10.64    -1.94    18.48       -10.64    -1.94    18.48     0.000
    7.40    -0.43    62.54         7.40    -0.43    62.54     0.000
    8.60    21.99    15.70         8.60    21.99    15.70     0.000
   -4.49    19.79    33.13        -4.49    19.79    33.13     0.000
   15.93    -6.84    19.30        15.93    -6.84    19.30     0.000
    8.97   -10.06   -22.49         8.97   -10.06   -22.49     0.000
   10.45    18.60   -24.83        10.45    18.60   -24.83     0.000
  -34.32     6.72   -38.74       -34.32     6.72   -38.74     0.000
  -15.06     5.64    -0.27       -15.06     5.64    -0.27     0.000
   13.45     8.69   -20.51        13.45     8.69   -20.51     0.000
   35.02    12.52    -8.57        35.02    12.52    -8.57     0.000
   29.81    -5.23    12.31        29.81    -5.23    12.31     0.000
   19.64    -0.94    64.02        19.64    -0.94    64.02     0.000
   -9.50   -18.70    -7.87        -9.50   -18.70    -7.87     0.000
  -10.57     8.35    -0.07       -10.57     8.35    -0.07     0.000
    2.06   -22.44   -27.18         2.06   -22.44   -27.18     0.000
   -4.75    -7.65   -42.96        -4.75    -7.65   -42.96     0.000
   19.20   -11.80   -17.66        19.20   -11.80   -17.66     0.000
  -15.99     5.13     0.50       -15.99     5.13     0.50     0.000
  -39.75   -18.63   -20.76       -39.75   -18.63   -20.76     0.000
  -29.01   -17.57    -9.52       -29.01   -17.57    -9.52     0.000
   -3.30    17.59    54.96        -3.30    17.59    54.96     0.000
   28.01    19.60    -6.79        28.01    19.60    -6.79     0.000
    2.18    19.03     6.87         2.18    19.03     6.87     0.000
  -37.92   -19.76   -39.18       -37.92   -19.76   -39.18     0.000
   23.06    22.81     6.90        23.06    22.81     6.90     0.000
   20.46     3.71   -24.91        20.46     3.71   -24.91     0.000
    0.69     5.71   -12.85         0.69     5.71   -12.85     0.000
   17.25    -5.41    52.31        17.25    -5.41    52.31     0.000
  -27.66   -30.13   -24.88       -27.66   -30.13   -24.88     0.000
   35.52     4.94    16.09        35.52     4.94    16.09     0.000
   -5.29   -23.12   -35.31        -5.29   -23.12   -35.31     0.000
   -2.70    14.63     4.96        -2.70    14.63     4.96     0.000
  -22.18    15.71    29.66       -22.18    15.71    29.66     0.000
   32.96    13.33    11.19        32.96    13.33    11.19     0.000
  -17.23   -21.17   -10.04       -17.23   -21.17   -10.04     0.000
    9.74    23.16    12.88         9.74    23.16    12.88     0.000
  -23.30   -10.53   -51.49       -23.30   -10.53   -51.49     0.000
  -21.98    12.44   -35.69       -21.98    12.44   -35.69     0.000
   -7.60     8.77    -1.22        -7.60     8.77    -1.22     0.000
   29.14     2.47   -25.51        29.14     2.47   -25.51     0.000
   38.79     3.09    10.65        38.79     3.09    10.65     0.000
   27.10     0.30    50.59        27.10     0.30    50.59     0.000
   16.48     1.71   -16.90        16.48     1.71   -16.90     0.000
   17.51    -4.19    33.97        17.51    -4.19    33.97     0.000
   -0.09   -11.00     4.88        -0.09   -11.00     4.88     0.000
  -15.72     8.22     5.99       -15.72     8.22     5.99     0.000
   14.96     7.15   -20.86        14.96     7.15   -20.86     0.000
  -35.22   -11.48   -48.66       -35.22   -11.48   -48.66     0.000
    8.62    11.52    -6.88         8.62    11.52    -6.88     0.000
  -29.49   -11.26   -49.64       -29.49   -11.26   -49.64     0.000
  -31.28   -23.79   -17.24       -31.28   -23.79   -17.24     0.000
  -12.16     8.94    33.84       -12.16     8.94    33.84     0.000
    3.81    -8.52   -30.09         3.81    -8.52   -30.09     0.000
    8.90    13.46   -27.44         8.90    13.46   -27.44     0.000
   21.79    -9.41    10.11        21.79    -9.41    10.11     0.000
   28.87    12.91   -20.38        28.87    12.91   -20.38     0.000
   -9.51   -24.85   -19.68        -9.51   -24.85   -19.68     0.000
   37.42    -3.66     6.63        37.42    -3.66     6.63     0.000
   -3.17   -21.00   -38.01        -3.17   -21.00   -38.01     0.000
   18.78    -4.30    33.76        18.78    -4.30    33.76     0.000
  -16.75     5.39    23.55       -16.75     5.39    23.55     0.000
   14.54    25.05    31.60        14.54    25.05    31.60     0.000
   29.88    18.07    -9.21        29.88    18.07    -9.21     0.000
  -29.26    -2.38   -49.54       -29.26    -2.38   -49.54     0.000
   -8.84     7.84   -15.43        -8.84     7.84   -15.43     0.000
  -32.75   -21.91   -15.74       -32.75   -21.91   -15.74     0.000
  -39.69    -9.56   -31.55       -39.69    -9.56   -31.55     0.000
  -42.54    -3.61   -24.53       -42.54    -3.61   -24.53     0.000
   -7.10     4.37    56.98        -7.10     4.37    56.98     0.000
   13.96    24.32    11.55        13.96    24.32    11.55     0.000
   13.30    21.65   -14.83        13.30    21.65   -14.83     0.000
   21.56    -8.40    12.86        21.56    -8.40    12.86     0.000
   19.58    22.03    22.91        19.58    22.03    22.91     0.000
  -30.16     7.59   -40.38       -30.16     7.59   -40.38     0.000
  -30.63   -26.97   -37.60       -30.63   -26.97   -37.60     0.000
   15.57    15.73    61.24        15.57    15.73    61.24     0.000
   -6.38    12.12     7.13        -6.38    12.12     7.13     0.000
   20.33    22.75    19.61        20.33    22.75    19.61     0.000
  -14.25   -22.76   -13.24       -14.25   -22.76   -13.24     0.000
   28.93    -9.32    -0.21        28.93    -9.32    -0.21     0.000
  -33.71    -2.81   -47.67       -33.71    -2.81   -47.67     0.000
   24.04    -4.11    44.36        24.04    -4.11    44.36     0.000
   11.26   -14.20    -2.13        11.26   -14.20    -2.13     0.000
   10.65    24.09     7.59        10.65    24.09     7.59     0.000
   12.18    22.75    16.98        12.18    22.75    16.98     0.000
   -7.48    13.08     9.60        -7.48    13.08     9.60     0.000
  -16.24    -4.35     5.55       -16.24    -4.35     5.55     0.000
  -33.98   -23.46   -18.14       -33.98   -23.46   -18.14     0.000
  -12.39     1.39    26.03       -12.39     1.39    26.03     0.000
    1.15    -2.88    42.03         1.15    -2.88    42.03     0.000
   -6.25   -14.22    -1.99        -6.25   -14.22    -1.99     0.000
   28.08     0.35    44.30        28.08     0.35    44.30     0.000
  -14.49   -26.32   -40.09       -14.49   -26.32   -40.09     0.000
  -12.97   -27.72   -23.53       -12.97   -27.72   -23.53     0.000
   -9.47    19.93    23.03        -9.47    19.93    23.03     0.000
   22.60    -9.34   -19.59        22.60    -9.34   -19.59     0.000
   26.59    21.32    -0.88        26.59    21.32    -0.88     0.000
   32.38    -7.30   -21.84        32.38    -7.30   -21.84     0.000
  -29.47    12.63   -24.68       -29.47    12.63   -24.68     0.000
   12.77    14.42   -29.22        12.77    14.42   -29.22     0.000
