150 PA5-D-Debug-Answer.txt 6
   63.8584   24.0405   40.8426  167.3250   -4.2996   14.1980
   19.17    19.09    37.06        19.17    19.09    37.06     0.000
   25.68    14.19    47.15        25.68    14.19    47.15     0.000
   15.60     4.26    66.69        15.60     4.26    66.69     0.000
   21.31   -15.50   -16.06        21.31   -15.50   -16.06     0.000
  -33.91   -23.14   -35.41       -33.91   -23.14   -35.41     0.000
    7.05    18.52   -14.25         7.05    18.52   -14.25     0.000
    3.66    -4.22    59.78         3.66    -4.22    59.78     0.000
  -35.57    -0.56   -38.13       -35.57    -0.56   -38.13     0.000
   35.64     6.28   -15.76        35.64     6.28   -15.76     0.000
   -1.59    19.43    61.99        -1.59    19.43    61.99     0.000
  -23.99     7.47   -15.78       -23.99     7.47   -15.78     0.000
   -2.24   -17.20   -36.81        -2.24   -17.20   -36.81     0.000
  -31.54     1.13   -15.42       -31.54     1.13   -15.42     0.000
   -5.84    -9.81     4.26        -5.84    -9.81     4.26     0.000
  -11.70    21.32    19.62       -11.70    21.32    19.62     0.000
  -23.08     6.57   -40.16       -23.08     6.57   -40.16     0.000
   13.44    -5.97    14.01        13.44    -5.97    14.01     0.000
  -16.95     4.68    -9.75       -16.95     4.68    -9.75     0.000
   12.86   -13.98   -17.04        12.86   -13.98   -17.04     0.000
   13.56    21.70   -11.91        13.56    21.70   -11.91     0.000
  -27.33     3.54   -41.31       -27.33     3.54   -41.31     0.000
   -3.80   -20.42   -24.02        -3.80   -20.42   -24.02     0.000
   18.83    21.82     8.23        18.83    21.82     8.23     0.000
   26.96     5.37    55.84        26.96     5.37    55.84     0.000
    5.43     1.17   -17.16         5.43     1.17   -17.16     0.000
   19.33    22.37    -6.37        19.33    22.37    -6.37     0.000
   40.33     0.20   -11.05        40.33     0.20   -11.05     0.000
  -11.56     8.22    -2.74       -11.56     8.22    -2.74     0.000
    7.22    21.89    23.39         7.22    21.89    23.39     0.000
   22.95    -6.57   -23.88        22.95    -6.57   -23.88     0.000
   12.40    21.76    47.22        12.40    21.76    47.22     0.000
   25.93    13.54    33.89        25.93    13.54    33.89     0.000
  -25.99    10.09   -26.44       -25.99    10.09   -26.44     0.000
   36.17    -7.64   -10.37        36.17    -7.64   -10.37     0.000
   15.45    10.46   -32.49        15.45    10.46   -32.49     0.000
    5.00    -8.69   -25.70         5.00    -8.69   -25.70     0.000
    4.57    -4.36    47.71         4.57    -4.36    47.71     0.000
   -7.26     6.68   -30.14        -7.26     6.68   -30.14     0.000
  -13.09     7.32    -2.79       -13.09     7.32    -2.79     0.000
  -24.71     9.95   -31.45       -24.71     9.95   -31.45     0.000
   16.69    -9.56   -21.62        16.69    -9.56   -21.62     0.000
  -15.98     8.98    30.73       -15.98     8.98    30.73     0.000
    9.69    23.46    -1.64         9.69    23.46    -1.64     0.000
  -11.94   -27.52   -23.01       -11.94   -27.52   -23.01     0.000
   -6.98    22.50    22.16        -6.98    22.50    22.16     0.000
   -7.26   -23.56   -37.70        -7.26   -23.56   -37.70     0.000
   -5.57     5.53   -23.64        -5.57     5.53   -23.64     0.000
   17.32   -11.48     2.30        17.32   -11.48     2.30     0.000
    8.74     8.70   -10.83         8.74     8.70   -10.83     0.000
  -16.05    -2.44    10.05       -16.05    -2.44    10.05     0.000
   -4.34     3.51   -34.73        -4.34     3.51   -34.73     0.000
    8.96    -4.82    28.86         8.96    -4.82    28.86     0.000
   31.02    -8.50   -24.38        31.02    -8.50   -24.38     0.000
  -38.20     1.19   -27.25       -38.20     1.19   -27.25     0.000
  -10.11    11.79     5.77       -10.11    11.79     5.77     0.000
    3.20   -10.56     5.58         3.20   -10.56     5.58     0.000
    2.24   -10.70     4.10         2.24   -10.70     4.10     0.000
   20.73   -12.48    -3.48        20.73   -12.48    -3.48     0.000
  -21.83     5.21   -41.42       -21.83     5.21   -41.42     0.000
  -18.62     3.37     2.33       -18.62     3.37     2.33     0.000
  -10.09     7.94    -5.98       -10.09     7.94    -5.98     0.000
   29.84   -13.54   -24.95        29.84   -13.54   -24.95     0.000
  -32.92   -24.17   -35.17       -32.92   -24.17   -35.17     0.000
   34.95    -8.20     7.75        34.95    -8.20     7.75     0.000
  -31.05     4.66   -17.29       -31.05     4.66   -17.29     0.000
   26.54    13.10    39.09        26.54    13.10    39.09     0.000
   25.24    20.23     9.38        25.24    20.23     9.38     0.000
   34.48    13.11    10.89        34.48    13.11    10.89     0.000
   -9.07    -2.45    37.61        -9.07    -2.45    37.61     0.000
   -7.96     2.20    46.91        -7.96     2.20    46.91     0.000
   28.14     7.80    49.27        28.14     7.80    49.27     0.000
  -18.07     5.48     7.34       -18.07     5.48     7.34     0.000
   38.74    -1.70    -0.65        38.74    -1.70    -0.65     0.000
    7.42    13.93   -27.98         7.42    13.93   -27.98     0.000
   -2.51    -7.20   -43.39        -2.51    -7.20   -43.39     0.000
   -9.15     9.23    48.65        -9.15     9.23    48.65     0.000
    2.13     1.56   -20.44         2.13     1.56   -20.44     0.000
   16.57    21.10   -18.35        16.57    21.10   -18.35     0.000
    6.18    21.20    43.49         6.18    21.20    43.49     0.000
  -12.89    20.33    17.80       -12.89    20.33    17.80     0.000
   -4.32   -11.29   -43.87        -4.32   -11.29   -43.87     0.000
   17.96    22.14    19.24        17.96    22.14    19.24     0.000
   -7.65    -0.07    48.44        -7.65    -0.07    48.44     0.000
   37.96    -5.38     9.71        37.96    -5.38     9.71     0.000
    4.52   -10.93     3.88         4.52   -10.93     3.88     0.000
  -31.81    -7.70   -10.55       -31.81    -7.70   -10.55     0.000
   -8.67    11.59    49.17        -8.67    11.59    49.17     0.000
  -10.76     3.42   -41.12       -10.76     3.42   -41.12     0.000
   -3.37     9.24    -9.47        -3.37     9.24    -9.47     0.000
    0.12   -12.35   -35.99         0.12   -12.35   -35.99     0.000
  -42.28    -6.58   -27.72       -42.28    -6.58   -27.72     0.000
   23.39    -8.84   -24.40        23.39    -8.84   -24.40     0.000
   10.91    21.44    45.43        10.91    21.44    45.43     0.000
    9.97    -5.36    61.18         9.97    -5.36    61.18     0.000
   -1.87    -5.28   -42.04        -1.87    -5.28   -42.04     0.000
    6.86   -11.33   -23.78         6.86   -11.33   -23.78     0.000
   24.56     0.09    63.94        24.56     0.09    63.94     0.000
    1.56   -10.70     4.34         1.56   -10.70     4.34     0.000
   24.83    -6.74    14.54        24.83    -6.74    14.54     0.000
   -4.20   -19.09   -38.54        -4.20   -19.09   -38.54     0.000
   -5.89     2.72    64.48        -5.89     2.72    64.48     0.000
   39.68    10.57     8.12        39.68    10.57     8.12     0.000
   26.73    16.60   -22.24        26.73    16.60   -22.24     0.000
   -8.42    10.56    64.57        -8.42    10.56    64.57     0.000
   14.62    -4.29    66.42        14.62    -4.29    66.42     0.000
  -15.95    23.19    29.43       -15.95    23.19    29.43     0.000
    6.63   -10.49     9.33         6.63   -10.49     9.33     0.000
  -20.92   -17.76    -8.10       -20.92   -17.76    -8.10     0.000
  -37.27   -15.18   -38.38       -37.27   -15.18   -38.38     0.000
  -33.16   -24.26   -34.25       -33.16   -24.26   -34.25     0.000
  -38.10    -0.64   -35.92       -38.10    -0.64   -35.92     0.000
    5.01    -4.50    49.49         5.01    -4.50    49.49     0.000
    0.55    -9.45    21.61         0.55    -9.45    21.61     0.000
   -9.93    22.18    20.78        -9.93    22.18    20.78     0.000
   -5.66    14.72     4.68        -5.66    14.72     4.68     0.000
  -14.09     2.02    22.36       -14.09     2.02    22.36     0.000
   32.13   -10.95   -19.82        32.13   -10.95   -19.82     0.000
    2.66    -3.24    66.26         2.66    -3.24    66.26     0.000
  -35.37     5.10   -29.49       -35.37     5.10   -29.49     0.000
   22.84    15.01   -26.04        22.84    15.01   -26.04     0.000
   41.61     2.49     8.96        41.61     2.49     8.96     0.000
   26.85    -6.73    13.67        26.85    -6.73    13.67     0.000
  -24.53   -28.39   -20.04       -24.53   -28.39   -20.04     0.000
  -10.87     8.60    -2.48       -10.87     8.60    -2.48     0.000
  -35.78     2.16   -34.58       -35.78     2.16   -34.58     0.000
  -14.78   -22.76   -14.68       -14.78   -22.76   -14.68     0.000
   13.18    22.30    19.38        13.18    22.30    19.38     0.000
  -11.96    -7.43     6.82       -11.96    -7.43     6.82     0.000
   27.56    18.09   -15.76        27.56    18.09   -15.76     0.000
   -1.64    12.60    65.66        -1.64    12.60    65.66     0.000
  -28.80   -27.84   -25.93       -28.80   -27.84   -25.93     0.000
   42.76     5.31     3.05        42.76     5.31     3.05     0.000
   29.85    11.29   -20.32        29.85    11.29   -20.32     0.000
   16.07    -4.87    36.46        16.07    -4.87    36.46     0.000
  -17.75    -0.19   -45.66       -17.75    -0.19   -45.66     0.000
   -4.14   -19.93   -19.88        -4.14   -19.93   -19.88     0.000
   -9.16    21.64    33.28        -9.16    21.64    33.28     0.000
   15.03    22.74     8.55        15.03    22.74     8.55     0.000
  -24.23    -1.04   -46.29       -24.23    -1.04   -46.29     0.000
   21.20   -11.76   -24.59        21.20   -11.76   -24.59     0.000
   25.86    11.12    61.22        25.86    11.12    61.22     0.000
   11.55    21.76    53.36        11.55    21.76    53.36     0.000
  -14.89     6.47    -1.82       -14.89     6.47    -1.82     0.000
   35.27    13.55    -3.54        35.27    13.55    -3.54     0.000
   -8.38   -24.74   -23.41        -8.38   -24.74   -23.41     0.000
  -29.89    -6.06   -11.19       -29.89    -6.06   -11.19     0.000
  -21.31     3.24   -42.86       -21.31     3.24   -42.86     0.000
    5.47   -14.22   -23.92         5.47   -14.22   -23.92     0.000
    8.50    20.35   -12.42         8.50    20.35   -12.42     0.000
   -1.06   -10.91     4.02        -1.06   -10.91     4.02     0.000
